window,n_selected,selection_ratio
1,40,0.085
2,80,0.171
3,90,0.192
4,100,0.214
5,80,0.171
6,100,0.214
7,50,0.107
8,40,0.085
9,50,0.107
10,60,0.128
11,100,0.214
12,100,0.214
13,50,0.107
14,50,0.107
15,100,0.214
16,50,0.107
17,80,0.171
18,40,0.085
19,90,0.192
20,90,0.192
21,50,0.107
22,50,0.107
23,40,0.085
24,100,0.214
25,70,0.15
26,90,0.192
27,50,0.107
28,40,0.085
29,50,0.107
30,40,0.085
31,60,0.128
32,100,0.214
33,80,0.171
34,40,0.085
35,70,0.15
36,40,0.085
37,70,0.15
38,50,0.107
