train_start,train_end,test_end,alpha,r2_train,r2_test,n_nonzero,selected_features
1961-07-31,1986-07-31,1987-07-31,0.0015,0.04608073475495722,-0.028682146752144533,38,"['Excess_ret_feature', 'RF', 'ret_lag1', 'mom_6', 'mom_12', 'vol_12', 'epsfi_q', 'age', 'at_be', 'bidaskhl_21d', 'capx_gr2', 'cash_at', 'chcsho_12m', 'corr_1260d', 'debt_gr3', 'dsale_drec', 'eqnpo_me', 'iskew_capm_21d', 'iskew_hxz4_21d', 'kz_index', 'lnoa_gr1a', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'qmj_growth', 'rd5_at', 'resff3_12_1', 'ret_1_0', 'ret_6_1', 'rmax5_rvol_21d', 'sale_bev', 'saleq_su', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'seas_6_10na', 'tax_gr1a', 'zero_trades_126d']"
1962-07-31,1987-07-31,1988-07-31,0.0015,0.03899302898960699,0.010078954869792045,43,"['Excess_ret_feature', 'RF', 'ret_lag1', 'vol_12', 'aqc_q', 'dltr_q', 'epsfi_q', 'epspx_q', 'ibc_q', 'opeps_q', 'prstkc_q', 'sstk_q', 'age', 'at_be', 'bidaskhl_21d', 'capx_gr2', 'cash_at', 'chcsho_12m', 'corr_1260d', 'debt_gr3', 'dolvol_var_126d', 'eqnpo_me', 'iskew_ff3_21d', 'iskew_hxz4_21d', 'kz_index', 'lnoa_gr1a', 'ni_be', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'qmj_growth', 'resff3_12_1', 'ret_1_0', 'ret_6_1', 'rmax5_rvol_21d', 'sale_bev', 'seas_11_15an', 'seas_16_20an', 'seas_2_5an', 'seas_6_10an', 'seas_6_10na', 'tax_gr1a', 'zero_trades_126d']"
1963-07-31,1988-07-31,1989-07-31,0.0015,0.043017603294829065,-0.018524766112706592,42,"['Excess_ret_feature', 'RF', 'Sp_Ex_ret', 'ret_lag1', 'mom_3', 'vol_12', 'max_dd_12', 'epsfi_q', 'epsfx_q', 'epspx_q', 'age', 'at_be', 'capx_gr1', 'capx_gr2', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'eqnpo_me', 'iskew_hxz4_21d', 'lnoa_gr1a', 'netis_at', 'ni_ar1', 'niq_at_chg1', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'qmj_growth', 'rd5_at', 'rd_sale', 'ret_60_12', 'ret_9_1', 'rmax5_rvol_21d', 'sale_bev', 'seas_11_15an', 'seas_1_1an', 'seas_2_5an', 'seas_6_10an', 'seas_6_10na', 'tangibility', 'tax_gr1a', 'zero_trades_126d']"
1964-07-31,1989-07-31,1990-07-31,0.0015,0.036583440446235405,-0.005969949925117346,40,"['Excess_ret_feature', 'RF', 'Sp_Ex_ret', 'ret_lag1', 'vol_12', 'max_dd_12', 'epsfi_q', 'epspx_q', 'opeps_q', 'age', 'at_be', 'capx_gr2', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'dsale_dsga', 'eqnpo_me', 'iskew_hxz4_21d', 'lnoa_gr1a', 'nfna_gr1a', 'ni_ar1', 'niq_at_chg1', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'qmj_growth', 'rd5_at', 'ret_60_12', 'ret_9_1', 'rmax5_rvol_21d', 'sale_bev', 'seas_11_15an', 'seas_1_1an', 'seas_2_5an', 'seas_6_10an', 'seas_6_10na', 'tangibility', 'tax_gr1a', 'zero_trades_126d']"
1965-07-31,1990-07-31,1991-07-31,0.0015,0.03341082895388181,0.060728996626541076,41,"['Excess_ret_feature', 'RF', 'Sp_Ex_ret', 'ret_lag1', 'vol_12', 'max_dd_12', 'epsfi_q', 'epspx_q', 'opeps_q', 'at_be', 'beta_60m', 'capx_gr2', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'dsale_dsga', 'eqnpo_me', 'fcf_me', 'lnoa_gr1a', 'netis_at', 'ni_ar1', 'niq_at_chg1', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'op_at', 'qmj_growth', 'rd5_at', 'ret_60_12', 'ret_9_1', 'rmax5_rvol_21d', 'sale_gr3', 'seas_11_15an', 'seas_1_1an', 'seas_2_5an', 'seas_6_10an', 'seas_6_10na', 'tangibility', 'tax_gr1a', 'zero_trades_126d']"
1966-07-31,1991-07-31,1992-07-31,0.0015,0.043257551918988724,0.0027651589049055847,43,"['Excess_ret_feature', 'RF', 'ret_lag1', 'mom_3', 'vol_12', 'max_dd_12', 'epsfi_q', 'epspi_q', 'epspx_q', 'at_be', 'capx_gr2', 'cash_at', 'chcsho_12m', 'dbnetis_at', 'debt_gr3', 'dsale_dinv', 'eqnpo_me', 'iskew_hxz4_21d', 'lnoa_gr1a', 'netis_at', 'nfna_gr1a', 'ni_ar1', 'niq_at_chg1', 'niq_be_chg1', 'ocf_at_chg1', 'ocf_me', 'ocfq_saleq_std', 'ope_bel1', 'qmj_growth', 'rd5_at', 'rd_me', 'ret_3_1', 'ret_60_12', 'rmax5_rvol_21d', 'sale_bev', 'seas_11_15an', 'seas_16_20an', 'seas_1_1an', 'seas_2_5an', 'seas_6_10an', 'tangibility', 'tax_gr1a', 'zero_trades_126d']"
1967-07-31,1992-07-31,1993-07-31,0.0015,0.03330447197675035,-0.019169947683018274,44,"['Excess_ret_feature', 'RF', 'Sp_Ex_ret', 'ret_lag1', 'vol_12', 'max_dd_12', 'sharpe_12', 'epsfi_q', 'epspi_q', 'epspx_q', 'at_be', 'beta_60m', 'cash_at', 'chcsho_12m', 'coskew_21d', 'dbnetis_at', 'debt_gr3', 'dsale_dinv', 'eqnpo_me', 'fcf_me', 'iskew_hxz4_21d', 'kz_index', 'lnoa_gr1a', 'netis_at', 'ni_ar1', 'ni_be', 'niq_at_chg1', 'niq_be', 'niq_be_chg1', 'ocfq_saleq_std', 'ope_bel1', 'rd5_at', 'rd_me', 'ret_3_1', 'rmax5_rvol_21d', 'rskew_21d', 'sale_bev', 'seas_11_15an', 'seas_16_20an', 'seas_1_1an', 'seas_2_5an', 'seas_6_10an', 'tangibility', 'zero_trades_126d']"
1968-07-31,1993-07-31,1994-07-31,0.0015,0.030353819296705775,-0.023896294444918365,45,"['Excess_ret_feature', 'RF', 'Sp_Ex_ret', 'vol_12', 'max_dd_12', 'sharpe_12', 'epsfi_q', 'epspi_q', 'epspx_q', 'at_be', 'beta_60m', 'capx_gr3', 'cash_at', 'chcsho_12m', 'coskew_21d', 'dbnetis_at', 'debt_gr3', 'dsale_dinv', 'eqnpo_me', 'fcf_me', 'fnl_gr1a', 'iskew_hxz4_21d', 'lnoa_gr1a', 'netis_at', 'ni_ar1', 'ni_be', 'niq_at_chg1', 'niq_be', 'niq_be_chg1', 'ocfq_saleq_std', 'ope_bel1', 'rd5_at', 'rd_me', 'ret_3_1', 'rmax5_rvol_21d', 'rskew_21d', 'sale_bev', 'seas_11_15an', 'seas_16_20an', 'seas_16_20na', 'seas_1_1an', 'seas_2_5an', 'seas_6_10an', 'tangibility', 'zero_trades_126d']"
1969-07-31,1994-07-31,1995-07-31,0.0015,0.025735412995664952,0.0030966038293528397,36,"['Excess_ret_feature', 'RF', 'Sp_Ex_ret', 'vol_12', 'max_dd_12', 'epsfx_q', 'epspi_q', 'epspx_q', 'aliq_mat', 'at_be', 'cash_at', 'chcsho_12m', 'coskew_21d', 'cowc_gr1a', 'debt_gr3', 'dsale_dinv', 'eqnpo_me', 'fcf_me', 'fnl_gr1a', 'iskew_ff3_21d', 'netis_at', 'ni_ar1', 'niq_at_chg1', 'niq_be', 'niq_be_chg1', 'o_score', 'ocfq_saleq_std', 'ope_bel1', 'rmax5_rvol_21d', 'rskew_21d', 'seas_11_15an', 'seas_16_20an', 'seas_16_20na', 'seas_1_1an', 'seas_6_10an', 'tangibility']"
1970-07-31,1995-07-31,1996-07-31,0.0015,0.024657405956127754,-0.014593858868204634,34,"['Excess_ret_feature', 'RF', 'Sp_Ex_ret', 'vol_12', 'max_dd_12', 'epsfi_q', 'epspi_q', 'epspx_q', 'aliq_mat', 'at_be', 'cash_at', 'chcsho_12m', 'coskew_21d', 'cowc_gr1a', 'dbnetis_at', 'debt_gr3', 'eqnpo_me', 'fcf_me', 'netis_at', 'ni_ar1', 'niq_be', 'niq_be_chg1', 'o_score', 'ocfq_saleq_std', 'op_at', 'ope_bel1', 'rskew_21d', 'seas_11_15an', 'seas_16_20an', 'seas_16_20na', 'seas_1_1an', 'seas_6_10an', 'tangibility', 'tax_gr1a']"
