train_start,train_end,test_end,alpha,r2_train,r2_test,n_nonzero,selected_features
1961-07-31,1986-07-31,1987-07-31,0.0055,0.008670792517317505,-0.011585866916949517,5,"['Sp_Ex_ret', 'chcsho_12m', 'debt_gr3', 'ocfq_saleq_std', 'tangibility']"
1962-07-31,1987-07-31,1988-07-31,0.0055,0.0061022770378039715,-0.0030446536571060445,6,"['chcsho_12m', 'coa_gr1a', 'debt_gr3', 'kz_index', 'ocfq_saleq_std', 'tangibility']"
1963-07-31,1988-07-31,1989-07-31,0.0055,0.011250753345040332,-0.005143497850728762,7,"['Sp_Ex_ret', 'capx_gr2', 'chcsho_12m', 'cowc_gr1a', 'ocf_at_chg1', 'ocfq_saleq_std', 'tangibility']"
1964-07-31,1989-07-31,1990-07-31,0.0055,0.008147772594939706,-0.007014854578989871,8,"['Sp_Ex_ret', 'capx_gr2', 'chcsho_12m', 'cowc_gr1a', 'dsale_dinv', 'ocf_at_chg1', 'ocfq_saleq_std', 'tangibility']"
1965-07-31,1990-07-31,1991-07-31,0.0055,0.007070661782155874,0.01807392175849487,7,"['capx_gr2', 'cash_at', 'chcsho_12m', 'cowc_gr1a', 'dsale_dinv', 'ocfq_saleq_std', 'tangibility']"
1966-07-31,1991-07-31,1992-07-31,0.0055,0.017623239523748002,0.004900128905016232,7,"['cash_at', 'chcsho_12m', 'debt_gr3', 'niq_be_chg1', 'sale_bev', 'seas_11_15an', 'tangibility']"
1967-07-31,1992-07-31,1993-07-31,0.0055,0.013805879240263885,-0.011800355872268797,9,"['aliq_at', 'cash_at', 'chcsho_12m', 'debt_gr3', 'kz_index', 'niq_be_chg1', 'sale_bev', 'seas_11_15an', 'tangibility']"
1968-07-31,1993-07-31,1994-07-31,0.0055,0.010379802851653075,-0.0022635186280473008,6,"['aliq_at', 'cash_at', 'chcsho_12m', 'debt_gr3', 'sale_bev', 'tangibility']"
1969-07-31,1994-07-31,1995-07-31,0.0055,0.008867069568117114,-0.00016612895430423436,4,"['aliq_at', 'chcsho_12m', 'debt_gr3', 'tangibility']"
1970-07-31,1995-07-31,1996-07-31,0.0055,0.007811758368009514,-0.001410923269259401,6,"['Sp_Ex_ret', 'aliq_at', 'chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'tangibility']"
1971-07-31,1996-07-31,1997-07-31,0.0055,0.007648890342924708,-0.01290250040655283,5,"['aliq_at', 'chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'tangibility']"
1972-07-31,1997-07-31,1998-07-31,0.0055,0.005679085647201876,-0.003070632546624763,5,"['chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'niq_be', 'tangibility']"
1973-07-31,1998-07-31,1999-07-31,0.0055,0.00391244654800782,0.0007931962856180252,4,"['chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'sale_bev']"
1974-07-31,1999-07-31,2000-07-31,0.0055,0.003579766247978622,-0.0013531594613234166,4,"['chcsho_12m', 'ncoa_gr1a', 'prc_highprc_252d', 'sale_bev']"
1975-07-31,2000-07-31,2001-07-31,0.0055,0.0024228403984890567,-0.0022440347651937476,5,"['capx_gr2', 'dbnetis_at', 'eqnpo_me', 'sale_gr3', 'zero_trades_21d']"
1976-07-31,2001-07-31,2002-07-31,0.0055,0.0018846586409517752,-0.0031114162797527545,2,"['dbnetis_at', 'saleq_gr1']"
1977-07-31,2002-07-31,2003-07-31,0.0055,0.003760180097650778,-0.007287839582377886,6,"['dbnetis_at', 'dsale_dsga', 'resff3_6_1', 'sale_gr3', 'saleq_gr1', 'turnover_126d']"
1978-07-31,2003-07-31,2004-07-31,0.0055,0.004923817019899079,-0.006012881902098366,7,"['Sp_Ex_ret', 'dbnetis_at', 'debt_gr3', 'dsale_dsga', 'resff3_6_1', 'sale_gr3', 'saleq_gr1']"
1979-07-31,2004-07-31,2005-07-31,0.0055,0.00491557229527273,-0.001097552552739689,6,"['Sp_Ex_ret', 'dbnetis_at', 'debt_gr3', 'eqpo_me', 'resff3_6_1', 'saleq_gr1']"
1980-07-31,2005-07-31,2006-07-31,0.0055,0.004583499819286074,-0.00587187090635255,6,"['Sp_Ex_ret', 'dbnetis_at', 'debt_gr3', 'eqpo_me', 'resff3_6_1', 'saleq_gr1']"
