train_start,train_end,test_end,alpha,r2_train,r2_test,n_nonzero,selected_features
1961-07-31,1986-07-31,1987-07-31,0.004,0.020369276575443074,-0.014630302830876296,15,"['Sp_Ex_ret', 'age', 'at_be', 'chcsho_12m', 'debt_gr3', 'iskew_hxz4_21d', 'kz_index', 'niq_be_chg1', 'ocfq_saleq_std', 'sale_bev', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'tangibility', 'zero_trades_126d']"
1962-07-31,1987-07-31,1988-07-31,0.004,0.013450813478458667,0.005306960948552875,11,"['Sp_Ex_ret', 'age', 'at_be', 'chcsho_12m', 'debt_gr3', 'kz_index', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'seas_6_10an', 'tangibility']"
1963-07-31,1988-07-31,1989-07-31,0.004,0.018912831655307882,-0.006783507852022419,14,"['Sp_Ex_ret', 'age', 'at_be', 'capx_gr2', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'netis_at', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'seas_11_15an', 'tangibility']"
1964-07-31,1989-07-31,1990-07-31,0.004,0.015483321910098269,-0.00800149321768151,11,"['Sp_Ex_ret', 'age', 'capx_gr2', 'cash_at', 'chcsho_12m', 'dsale_dinv', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'seas_11_15an', 'tangibility']"
1965-07-31,1990-07-31,1991-07-31,0.004,0.013071957925383848,0.032319700386785444,10,"['Sp_Ex_ret', 'capx_gr2', 'cash_at', 'chcsho_12m', 'dsale_dinv', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'seas_11_15an', 'tangibility']"
1966-07-31,1991-07-31,1992-07-31,0.004,0.02400667429634229,0.005294850425233033,13,"['Sp_Ex_ret', 'at_be', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'niq_be_chg1', 'ocfq_saleq_std', 'sale_bev', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'tangibility']"
1967-07-31,1992-07-31,1993-07-31,0.004,0.018671814529201858,-0.017192703679334898,15,"['Sp_Ex_ret', 'cash_at', 'chcsho_12m', 'coa_gr1a', 'debt_gr3', 'dsale_dinv', 'kz_index', 'ni_be', 'niq_be_chg1', 'ocfq_saleq_std', 'rmax5_rvol_21d', 'sale_bev', 'seas_11_15an', 'seas_2_5an', 'tangibility']"
1968-07-31,1993-07-31,1994-07-31,0.004,0.015004833811860574,-0.004088864240693324,11,"['RF', 'Sp_Ex_ret', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'niq_be_chg1', 'ocfq_saleq_std', 'sale_bev', 'seas_11_15an', 'tangibility']"
1969-07-31,1994-07-31,1995-07-31,0.004,0.012890969021858267,0.0002450196645052971,10,"['Sp_Ex_ret', 'aliq_at', 'cash_at', 'chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'niq_be_chg1', 'ocfq_saleq_std', 'seas_11_15an', 'tangibility']"
1970-07-31,1995-07-31,1996-07-31,0.004,0.011289084484739753,-0.0032188412101117336,11,"['Sp_Ex_ret', 'at_be', 'cash_at', 'chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'kz_index', 'niq_be_chg1', 'ocfq_saleq_std', 'seas_11_15an', 'tangibility']"
1971-07-31,1996-07-31,1997-07-31,0.004,0.010206912856724926,-0.017785164268880882,8,"['aliq_at', 'chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'ni_ar1', 'niq_be_chg1', 'ocfq_saleq_std', 'tangibility']"
1972-07-31,1997-07-31,1998-07-31,0.004,0.008302591260174408,-0.005984399835631482,6,"['at_be', 'chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'niq_be', 'tangibility']"
1973-07-31,1998-07-31,1999-07-31,0.004,0.006507486358989345,-0.00021632721769115903,8,"['chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'niq_be', 'rd_me', 'rmax5_rvol_21d', 'sale_bev', 'tangibility']"
1974-07-31,1999-07-31,2000-07-31,0.004,0.005528149228573698,-0.0014559906930449174,9,"['chcsho_12m', 'cowc_gr1a', 'ncoa_gr1a', 'prc_highprc_252d', 'ret_1_0', 'ret_9_1', 'rmax5_rvol_21d', 'sale_bev', 'zero_trades_21d']"
1975-07-31,2000-07-31,2001-07-31,0.004,0.004486881109497909,-0.0034246120459862084,9,"['vol_12', 'beta_60m', 'capx_gr2', 'dbnetis_at', 'eqnpo_me', 'resff3_6_1', 'rmax5_rvol_21d', 'sale_gr3', 'zero_trades_21d']"
1976-07-31,2001-07-31,2002-07-31,0.004,0.0038042633295273243,0.00027839647319882754,7,"['cowc_gr1a', 'dbnetis_at', 'dsale_dsga', 'ret_12_7', 'saleq_gr1', 'seas_11_15na', 'seas_16_20an']"
1977-07-31,2002-07-31,2003-07-31,0.004,0.005623662151436615,-0.004575062286166887,9,"['dbnetis_at', 'debt_gr3', 'dsale_dsga', 'resff3_6_1', 'sale_gr3', 'saleq_gr1', 'seas_11_15an', 'seas_16_20an', 'turnover_126d']"
1978-07-31,2003-07-31,2004-07-31,0.004,0.007252807464891653,-0.004393487088687031,9,"['Sp_Ex_ret', 'max_dd_12', 'dbnetis_at', 'debt_gr3', 'dsale_dsga', 'eqpo_me', 'resff3_6_1', 'saleq_gr1', 'seas_11_15an']"
1979-07-31,2004-07-31,2005-07-31,0.004,0.00739890487922501,0.0022833603977439054,10,"['Sp_Ex_ret', 'dbnetis_at', 'debt_gr3', 'dsale_dsga', 'eqpo_me', 'qmj', 'resff3_6_1', 'saleq_gr1', 'seas_11_15an', 'sti_gr1a']"
1980-07-31,2005-07-31,2006-07-31,0.004,0.007646057314091181,-0.0065896485506165,12,"['RF', 'Sp_Ex_ret', 'dbnetis_at', 'debt_gr3', 'dsale_dinv', 'dsale_dsga', 'eqpo_me', 'qmj', 'resff3_6_1', 'saleq_gr1', 'seas_11_15an', 'sti_gr1a']"
1981-07-31,2006-07-31,2007-07-31,0.004,0.007104402993042602,-0.000990404256882682,9,"['Sp_Ex_ret', 'dbnetis_at', 'debt_gr3', 'eqpo_me', 'qmj', 'resff3_6_1', 'saleq_gr1', 'seas_11_15an', 'sti_gr1a']"
1982-07-31,2007-07-31,2008-07-31,0.004,0.006495189067554752,-0.035648216625610685,9,"['Sp_Ex_ret', 'dbnetis_at', 'debt_gr3', 'prc', 'qmj', 'resff3_6_1', 'saleq_gr1', 'seas_11_15an', 'sti_gr1a']"
1983-07-31,2008-07-31,2009-07-31,0.004,0.00645844085231273,0.003891742975142831,10,"['Sp_Ex_ret', 'epspi_q', 'dbnetis_at', 'debt_gr3', 'dsale_dinv', 'oaccruals_ni', 'qmj', 'resff3_6_1', 'saleq_gr1', 'sti_gr1a']"
