train_start,train_end,test_end,alpha,r2_train,r2_test,n_nonzero,selected_features
1961-07-31,1986-07-31,1987-07-31,0.0025,0.034405247720825094,-0.02221835428904484,21,"['Sp_Ex_ret', 'epsfi_q', 'age', 'at_be', 'cash_at', 'chcsho_12m', 'debt_gr3', 'eqnpo_me', 'iskew_hxz4_21d', 'kz_index', 'lnoa_gr1a', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'resff3_12_1', 'sale_bev', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'seas_6_10na', 'zero_trades_126d']"
1962-07-31,1987-07-31,1988-07-31,0.0025,0.02647768300736497,0.010991007650574813,23,"['RF', 'vol_12', 'age', 'at_be', 'capx_gr2', 'chcsho_12m', 'corr_1260d', 'debt_gr3', 'eqnpo_me', 'iskew_ff3_21d', 'kz_index', 'lnoa_gr1a', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'resff3_12_1', 'sale_bev', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'seas_6_10na', 'tangibility', 'zero_trades_126d']"
1963-07-31,1988-07-31,1989-07-31,0.0025,0.03003128616007067,-0.011259280677967665,26,"['Sp_Ex_ret', 'max_dd_12', 'epsfi_q', 'epspx_q', 'age', 'at_be', 'capx_gr2', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'iskew_hxz4_21d', 'lnoa_gr1a', 'netis_at', 'ni_ar1', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'ret_60_12', 'rmax5_rvol_21d', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'seas_6_10na', 'tangibility', 'zero_trades_126d']"
1964-07-31,1989-07-31,1990-07-31,0.0025,0.024976412664651004,-0.006668330144510293,21,"['Sp_Ex_ret', 'max_dd_12', 'epsfi_q', 'age', 'at_be', 'capx_gr2', 'cash_at', 'chcsho_12m', 'dsale_dinv', 'iskew_hxz4_21d', 'lnoa_gr1a', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'ret_60_12', 'rmax5_rvol_21d', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'seas_6_10na', 'tangibility']"
1965-07-31,1990-07-31,1991-07-31,0.0025,0.023023750448662228,0.05302737733751639,21,"['Sp_Ex_ret', 'max_dd_12', 'epsfi_q', 'epspx_q', 'at_be', 'beta_60m', 'capx_gr2', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'lnoa_gr1a', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'qmj_growth', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'tangibility', 'zero_trades_126d']"
1966-07-31,1991-07-31,1992-07-31,0.0025,0.03241795306362871,0.004506896766226398,27,"['RF', 'Sp_Ex_ret', 'max_dd_12', 'epspi_q', 'epspx_q', 'at_be', 'beta_60m', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'eqnpo_me', 'iskew_hxz4_21d', 'ni_ar1', 'niq_be_chg1', 'ocf_at_chg1', 'ocf_me', 'ocfq_saleq_std', 'rd_me', 'rmax5_rvol_21d', 'sale_bev', 'seas_11_15an', 'seas_16_20an', 'seas_2_5an', 'seas_6_10an', 'tangibility', 'zero_trades_126d']"
1967-07-31,1992-07-31,1993-07-31,0.0025,0.025660086770840307,-0.017790482955301057,27,"['RF', 'Sp_Ex_ret', 'max_dd_12', 'epsfi_q', 'epspi_q', 'at_be', 'beta_60m', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'eqnpo_me', 'iskew_hxz4_21d', 'kz_index', 'netis_at', 'ni_ar1', 'ni_be', 'niq_be', 'niq_be_chg1', 'ocfq_saleq_std', 'rmax5_rvol_21d', 'sale_bev', 'seas_11_15an', 'seas_16_20an', 'seas_2_5an', 'seas_6_10an', 'tangibility']"
1968-07-31,1993-07-31,1994-07-31,0.0025,0.022693418775773133,-0.011420591296325222,28,"['RF', 'Sp_Ex_ret', 'vol_12', 'max_dd_12', 'epspi_q', 'at_be', 'beta_60m', 'cash_at', 'chcsho_12m', 'dbnetis_at', 'debt_gr3', 'dsale_dinv', 'eqnpo_me', 'fcf_me', 'netis_at', 'ni_ar1', 'ni_be', 'niq_be', 'niq_be_chg1', 'ocfq_saleq_std', 'rd_me', 'rmax5_rvol_21d', 'rskew_21d', 'sale_bev', 'seas_11_15an', 'seas_16_20an', 'seas_2_5an', 'tangibility']"
1969-07-31,1994-07-31,1995-07-31,0.0025,0.019788705667826867,0.0027677040503815142,26,"['RF', 'Sp_Ex_ret', 'vol_12', 'max_dd_12', 'epspi_q', 'at_be', 'cash_at', 'chcsho_12m', 'coskew_21d', 'cowc_gr1a', 'debt_gr3', 'dsale_dinv', 'eqnpo_me', 'fcf_me', 'iskew_ff3_21d', 'netis_at', 'ni_ar1', 'niq_be', 'niq_be_chg1', 'ocfq_saleq_std', 'rmax5_rvol_21d', 'rskew_21d', 'seas_11_15an', 'seas_16_20an', 'seas_6_10an', 'tangibility']"
1970-07-31,1995-07-31,1996-07-31,0.0025,0.01872591063496387,-0.0058064783469273795,24,"['RF', 'Sp_Ex_ret', 'vol_12', 'max_dd_12', 'epspi_q', 'at_be', 'cash_at', 'chcsho_12m', 'coskew_21d', 'cowc_gr1a', 'debt_gr3', 'eqnpo_me', 'fcf_me', 'kz_index', 'ni_ar1', 'niq_be', 'niq_be_chg1', 'ocfq_saleq_std', 'op_at', 'rskew_21d', 'seas_11_15an', 'seas_16_20an', 'seas_6_10an', 'tangibility']"
1971-07-31,1996-07-31,1997-07-31,0.0025,0.016686370796899386,-0.021899054501085313,24,"['RF', 'Sp_Ex_ret', 'vol_12', 'max_dd_12', 'epsfi_q', 'epspi_q', 'at_be', 'beta_60m', 'cash_at', 'chcsho_12m', 'coskew_21d', 'cowc_gr1a', 'debt_gr3', 'eqnpo_me', 'ni_ar1', 'niq_be', 'niq_be_chg1', 'ocfq_saleq_std', 'rmax5_rvol_21d', 'seas_11_15an', 'seas_11_15na', 'seas_16_20an', 'seas_6_10an', 'tangibility']"
