train_start,train_end,test_end,alpha,r2_train,r2_test,n_nonzero,selected_features
1961-07-31,1986-07-31,1987-07-31,0.003,0.02966618960203682,-0.019814713569173303,18,"['Sp_Ex_ret', 'age', 'at_be', 'chcsho_12m', 'debt_gr3', 'eqnpo_me', 'iskew_hxz4_21d', 'kz_index', 'lnoa_gr1a', 'niq_be_chg1', 'ocfq_saleq_std', 'resff3_12_1', 'sale_bev', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'seas_6_10na', 'zero_trades_126d']"
1962-07-31,1987-07-31,1988-07-31,0.003,0.021672032822389387,0.010459709725129218,19,"['Sp_Ex_ret', 'age', 'at_be', 'chcsho_12m', 'corr_1260d', 'debt_gr3', 'eqnpo_me', 'kz_index', 'lnoa_gr1a', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'sale_bev', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'seas_6_10na', 'tangibility', 'zero_trades_126d']"
1963-07-31,1988-07-31,1989-07-31,0.003,0.025192396141103246,-0.009274530452827667,21,"['Sp_Ex_ret', 'max_dd_12', 'age', 'at_be', 'capx_gr2', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'iskew_hxz4_21d', 'lnoa_gr1a', 'netis_at', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'rmax5_rvol_21d', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'tangibility', 'zero_trades_126d']"
1964-07-31,1989-07-31,1990-07-31,0.003,0.020844190306084975,-0.007543610308592408,17,"['Sp_Ex_ret', 'epsfi_q', 'age', 'at_be', 'capx_gr2', 'cash_at', 'chcsho_12m', 'dsale_dinv', 'lnoa_gr1a', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'rmax5_rvol_21d', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'tangibility']"
1965-07-31,1990-07-31,1991-07-31,0.003,0.019127873215934788,0.047302625932056475,18,"['Sp_Ex_ret', 'epsfi_q', 'age', 'at_be', 'beta_60m', 'capx_gr2', 'cash_at', 'chcsho_12m', 'dsale_dinv', 'lnoa_gr1a', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'tangibility', 'zero_trades_126d']"
1966-07-31,1991-07-31,1992-07-31,0.003,0.029265235092135078,0.004826185022390184,20,"['RF', 'Sp_Ex_ret', 'max_dd_12', 'epspi_q', 'at_be', 'beta_60m', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'niq_be_chg1', 'ocfq_saleq_std', 'rd_me', 'rmax5_rvol_21d', 'sale_bev', 'seas_11_15an', 'seas_16_20an', 'seas_2_5an', 'seas_6_10an', 'tangibility']"
1967-07-31,1992-07-31,1993-07-31,0.003,0.02312238867546801,-0.01834101417540346,23,"['RF', 'Sp_Ex_ret', 'max_dd_12', 'epspi_q', 'at_be', 'beta_60m', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'eqnpo_me', 'iskew_hxz4_21d', 'kz_index', 'ni_be', 'niq_be', 'niq_be_chg1', 'ocfq_saleq_std', 'rmax5_rvol_21d', 'sale_bev', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'tangibility']"
1968-07-31,1993-07-31,1994-07-31,0.003,0.019886688377063866,-0.008250118149544461,23,"['RF', 'Sp_Ex_ret', 'vol_12', 'max_dd_12', 'epspi_q', 'at_be', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'eqnpo_me', 'fcf_me', 'netis_at', 'niq_be', 'niq_be_chg1', 'ocfq_saleq_std', 'rd_me', 'rmax5_rvol_21d', 'sale_bev', 'seas_11_15an', 'seas_16_20an', 'seas_2_5an', 'tangibility']"
1969-07-31,1994-07-31,1995-07-31,0.003,0.016895495860221543,0.0016147700613080573,19,"['RF', 'Sp_Ex_ret', 'vol_12', 'max_dd_12', 'at_be', 'cash_at', 'chcsho_12m', 'coskew_21d', 'cowc_gr1a', 'debt_gr3', 'dsale_dinv', 'eqnpo_me', 'fcf_me', 'niq_be', 'niq_be_chg1', 'ocfq_saleq_std', 'seas_11_15an', 'seas_6_10an', 'tangibility']"
1970-07-31,1995-07-31,1996-07-31,0.003,0.015933756136611743,-0.00426144609813095,20,"['Sp_Ex_ret', 'vol_12', 'max_dd_12', 'epspi_q', 'at_be', 'cash_at', 'chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'eqnpo_me', 'kz_index', 'ni_ar1', 'niq_be', 'niq_be_chg1', 'ocfq_saleq_std', 'rskew_21d', 'seas_11_15an', 'seas_16_20an', 'seas_6_10an', 'tangibility']"
1971-07-31,1996-07-31,1997-07-31,0.003,0.013824783379593253,-0.021597348928868554,20,"['Sp_Ex_ret', 'vol_12', 'epspi_q', 'aliq_at', 'at_be', 'beta_60m', 'cash_at', 'chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'eqnpo_me', 'ni_ar1', 'niq_be', 'niq_be_chg1', 'ocfq_saleq_std', 'seas_11_15an', 'seas_11_15na', 'seas_16_20an', 'seas_6_10an', 'tangibility']"
1972-07-31,1997-07-31,1998-07-31,0.003,0.01195429473338172,-0.010285624414844374,16,"['epspi_q', 'aliq_at', 'at_be', 'beta_60m', 'chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'niq_be', 'niq_be_chg1', 'ocfq_saleq_std', 'rskew_21d', 'sale_bev', 'seas_11_15an', 'seas_16_20an', 'seas_6_10an', 'tangibility']"
1973-07-31,1998-07-31,1999-07-31,0.003,0.009748034123379101,-0.003336881847796791,17,"['epsfi_q', 'epspi_q', 'at_be', 'chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'dsale_dinv', 'ni_ar1', 'niq_be', 'niq_be_chg1', 'qmj_growth', 'rd_me', 'ret_6_1', 'rmax5_rvol_21d', 'sale_bev', 'seas_11_15na', 'tangibility']"
1974-07-31,1999-07-31,2000-07-31,0.003,0.009380957785131261,-0.002822964727952737,16,"['downside_dev_12', 'epspi_q', 'capex_abn', 'chcsho_12m', 'lti_gr1a', 'ncoa_gr1a', 'netis_at', 'qmj_growth', 'ret_1_0', 'ret_9_1', 'rmax5_rvol_21d', 'sale_bev', 'sale_me', 'seas_11_15na', 'taccruals_at', 'zero_trades_21d']"
1975-07-31,2000-07-31,2001-07-31,0.003,0.0072982473375704515,-0.011864985323190025,15,"['vol_12', 'epspi_q', 'beta_60m', 'capx_gr2', 'dbnetis_at', 'dsale_drec', 'dsale_dsga', 'eqnpo_me', 'prc', 'resff3_6_1', 'ret_9_1', 'rmax5_rvol_21d', 'sale_gr3', 'seas_11_15na', 'zero_trades_21d']"
1976-07-31,2001-07-31,2002-07-31,0.003,0.006402854325370799,-0.0057934792706693106,14,"['downside_dev_12', 'epspi_q', 'aliq_mat', 'corr_1260d', 'cowc_gr1a', 'dbnetis_at', 'dsale_dsga', 'ret_12_7', 'rmax5_rvol_21d', 'saleq_gr1', 'seas_11_15na', 'seas_16_20an', 'seas_2_5an', 'seas_6_10an']"
1977-07-31,2002-07-31,2003-07-31,0.003,0.008195386245067215,-0.0030979446527621413,17,"['epspi_q', 'cowc_gr1a', 'dbnetis_at', 'debt_gr3', 'dsale_drec', 'dsale_dsga', 'eqpo_me', 'niq_at_chg1', 'rd5_at', 'resff3_6_1', 'rmax5_rvol_21d', 'saleq_gr1', 'seas_11_15an', 'seas_11_15na', 'seas_16_20an', 'sti_gr1a', 'turnover_126d']"
